"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"Carrie","1976","1h 38m","6,9","Brian De Palma","USA","Horror","Top 1976 roku #17"
"Filadelfia","1993","2h 5m","7,9","Jonathan Demme","USA","Dramat","Najlepsze filmy #102"
"The Complete Metropolis","1927","2h 33m","8,0","Fritz Lang","Niemcy","Sci-Fi","Niemy"
"Rok pierwszy","2009","1h 37m","5,5","Harold Ramis","USA","Komedia","Przygodowy"
"Ile waży koń trojański?","2008","1h 58m","6,2","Juliusz Machulski","Polska","Komedia",NA
"Śniadanie u Tiffany'ego","1961","1h 55m","7,8","Blake Edwards","USA","Melodramat","Najlepsze filmy #190"
"Matylda","1996","1h 38m","6,6","Danny DeVito","USA","Familijny","Fantasy"
"Szyfry wojny","2002","2h 13m","7,0","John Woo","USA","Dramat","Wojenny"
"Nawrót depresji gangstera","2002","1h 35m","6,6","Harold Ramis","USA","Komedia kryminalna","Top 2002 roku #87"
"Rolling Stones w blasku świateł","2008","2h 2m","7,3","Martin Scorsese","","Dokumentalny","Muzyczny"
"Yyyreek!!! Kosmiczna nominacja","2002","1h 25m","1,4","Jerzy Gruza","Polska","Komedia",NA
"Bibliotekarz II: Tajemnice kopalni króla Salomona","2006","1h 32m","6,6","Jonathan Frakes","USA","Fantasy","Przygodowy"
"Bibliotekarz: Tajemnica włóczni","2004","1h 46m","6,4","Peter Winther","USA","Fantasy","Przygodowy"
"Dziewięć miesięcy","1995","1h 43m","6,2","Chris Columbus","USA","Komedia rom.","Top 1995 roku #84"
"Mucha","1986","1h 36m","7,1","David Cronenberg","USA","Horror","Sci-Fi"
"Dzień zagłady","1998","2h 1m","6,6","Mimi Leder","USA","Katastroficzny","Top 1998 roku #67"
"Miasto ślepców","2008","2h","6,3","Fernando Meirelles","Brazylia","Dramat","Thriller"
"Franklyn","2008","1h 35m","6,4","Gerald McMorrow","Wielka Brytania","Dramat","Fantasy"
"Skazany na piekło","2003","1h 38m","7,0","Ringo Lam","USA","Dramat","Akcja"
"Quest","1996","1h 35m","6,5","Jean-Claude Van Damme","USA","Przygodowy","Top 1996 roku #45"
"Punisher","1989","1h 29m","6,7","Mark Goldblatt","Australia","Sensacyjny","Top 1989 roku #42"
"Frida","2002","2h 3m","7,5","Julie Taymor","USA","Biograficzny","Dramat"
"W cieniu chwały","2008","2h 10m","7,0","Gavin O'Connor","USA","Dramat","Kryminał"
"Blue Valentine","2010","1h 52m","7,3","Derek Cianfrance","USA","Melodramat","Top 2010 roku #25"
"Legion","2010","1h 40m","5,4","Scott Stewart","USA","Fantasy","Horror"
"Policyjna opowieść","1985","1h 45m","7,3","Jackie Chan","Hongkong","Komedia kryminalna","Sztuki walki"
"Godziny szczytu 2","2001","1h 30m","7,2","Brett Ratner","USA","Akcja","Komedia kryminalna"
"Rycerze z Szanghaju","2003","1h 54m","7,0","David Dobkin","USA","Komedia","Przygodowy"
"Cop Out: Fujary na tropie","2010","1h 47m","6,1","Kevin Smith","USA","Komedia kryminalna",NA
"Dobry agent","2006","2h 47m","6,9","Robert De Niro","USA","Dramat","Polityczny"
"Blair Witch Project","1999","1h 21m","6,3","Daniel Myrick","USA","Horror","Dokumentalizowany"
"Resident Evil 2: Apokalipsa","2004","1h 34m","6,7","Alexander Witt","Niemcy","Horror","Akcja"
"Narkomani","1971","1h 50m","7,3","Jerry Schatzberg","USA","Melodramat",NA
"Bobby Deerfield","1977","2h 4m","6,4","Sydney Pollack","USA","Melodramat",NA
"...I sprawiedliwość dla wszystkich","1979","1h 59m","7,6","Norman Jewison","USA","Kryminał","Dramat sądowy"
"Dick Tracy","1990","1h 41m","6,3","Warren Beatty","USA","Komedia kryminalna",NA
"Ludzie, których znam","2002","1h 40m","5,9","Daniel Algrant","USA","Dramat","Kryminał"
"Bezsenność","2002","1h 58m","7,2","Christopher Nolan","USA","Kryminał","Thriller"
"Podwójna gra","2005","2h 2m","6,8","D.J. Caruso","USA","Dramat","Sportowy"
"Co jest grane?","2008","1h 44m","5,1","Barry Levinson","USA","Dramat","Komedia"
"Pan Niania","1993","1h 24m","5,3","Michael Gottlieb","USA","Familijny","Komedia"
"Włamanie na śniadanie","2001","2h 3m","6,9","Barry Levinson","USA","Komedia kryminalna","Top 2001 roku #59"
"Kiedy Harry poznał Sally","1989","1h 36m","7,3","Rob Reiner","USA","Komedia rom.","Top 1989 roku #12"
"Batman i Robin","1997","2h 5m","4,8","Joel Schumacher","USA","Fantasy","Akcja"
"Depresja gangstera","1999","1h 43m","7,0","Harold Ramis","USA","Komedia kryminalna","Top 1999 roku #46"
"Rocky i Łoś Superktoś","2000","1h 28m","4,9","Des McAnuff","Niemcy","Animacja","Dla dzieci"
"15 minut","2001","2h","6,5","John Herzfeld","USA","Kryminał",NA
