"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"Mroczna wieża","2017","1h 35m","5,5","Nikolaj Arcel","USA","Fantasy","Przygodowy"
"Kuso","2017","1h 45m","5,5","Flying Lotus","USA","Dramat","Horror"
"Uczciwy człowiek","2017","1h 57m","6,7","Mohammad Rasoulof","Iran","Dramat",NA
"Droga Aszera","2017","1h 30m","6,1","Matan Yair","Izrael","Dramat",NA
"Sinobrody","2016","1h 12m","4,8","Gastón Solnicki","Argentyna","Dramat",NA
"Syn Królowej Śniegu","2017","1h 25m","5,0","Robert Wichrowski","Polska","Dramat",NA
"Fantastyczna kobieta","2017","1h 44m","6,6","Sebastián Lelio","Chile","Dramat",NA
"Serce miłości","2017","1h 18m","6,7","Łukasz Ronduda","Polska","Dramat",NA
"Performer","2015","1h 3m","5,7","Maciej Sobieszczański","Polska","Dramat",NA
"Po tamtej stronie","2017","1h 38m","6,6","Aki Kaurismäki","Finlandia","Dramat","Komedia"
"Niemiłość","2017","2h 7m","7,5","Andriej Zwiagincew","Rosja","Dramat","Top 2017 roku #27"
"Happy End","2017","1h 47m","6,1","Michael Haneke","Francja","Dramat",NA
"Manifesto","2015","1h 35m","6,5","Julian Rosefeldt","Niemcy","Dramat",NA
"Mięso","2016","1h 39m","5,9","Julia Ducournau","Belgia","Horror","Filmweb poleca"
"Atomic Blonde","2017","1h 55m","6,5","David Leitch","USA","Thriller","Akcja"
"Ghost Story","2017","1h 27m","6,6","David Lowery","USA","Fantasy","Melodramat"
"Kedi - sekretne życie kotów","2016","1h 20m","7,2","Ceyda Torun","","Dokumentalny","Top 2016 roku #76"
"Wet Hot American Summer","2001","1h 37m","5,6","David Wain","USA","Komedia rom.",NA
"Job, czyli ostatnia szara komórka","2006","1h 30m","6,0","Konrad Niewolski","Polska","Komedia",NA
"Contratiempo. Niewidzialny gość","2016","1h 46m","8,0","Oriol Paulo","Hiszpania","Kryminał","Najlepsze filmy #81"
"Klub winowajców","1985","1h 37m","7,4","John Hughes","USA","Dramat","Komedia"
"Sztuka kochania. Historia Michaliny Wisłockiej","2017","1h 57m","7,3","Maria Sadowska","Polska","Biograficzny","Dramat"
"Dunkierka","2017","1h 46m","7,2","Christopher Nolan","Wielka Brytania","Dramat","Wojenny"
"Odkrycie","2017","1h 50m","6,1","Charlie McDowell","USA","Romans","Sci-Fi"
"Aż do kości","2017","1h 47m","6,9","Marti Noxon","USA","Dramat","Top 2017 roku #50"
"Jack","1996","1h 53m","6,9","Francis Ford Coppola","USA","Dramat","Komedia"
"Flubber","1997","1h 33m","5,9","Les Mayfield","USA","Familijny","Fantasy"
"Projekt: Monster","2008","1h 25m","6,4","Matt Reeves","USA","Akcja","Sci-Fi"
"Zło we mnie","2015","1h 33m","5,6","Osgood Perkins","USA","Horror","Filmweb poleca"
"Sausage Party","2016","1h 23m","5,6","Conrad Vernon","USA","Komedia","Animacja dla dorosłych"
"21 x Nowy Jork","2016","1h 10m","6,6","Piotr Stasik","Polska","Dokumentalny",NA
"To przychodzi po zmroku","2017","1h 37m","5,5","Trey Edward Shults","USA","Horror",NA
"Elle","2016","2h 10m","6,5","Paul Verhoeven","Francja","Thriller",NA
"Okja","2017","2h","7,1","Joon-ho Bong","Korea Południowa","Dramat","Przygodowy"
"Przełęcz ocalonych","2016","2h 19m","8,1","Mel Gibson","USA","Biograficzny","Dramat"
"W starym, dobrym stylu","2017","1h 36m","7,0","Zach Braff","USA","Komedia kryminalna","Top 2017 roku #40"
"Spider-Man: Homecoming","2017","2h 13m","7,2","Jon Watts","USA","Akcja","Sci-Fi"
"Volta","2017","1h 45m","5,3","Juliusz Machulski","Polska","Komedia kryminalna",NA
"Rycerz pucharów","2015","1h 58m","5,6","Terrence Malick","USA","Melodramat",NA
"Śmierć Ludwika XIV","2016","1h 45m","6,8","Albert Serra","Francja","Biograficzny","Dramat"
"Baby Driver","2017","1h 53m","7,1","Edgar Wright","USA","Komedia","Akcja"
"Dobrze się kłamie w miłym towarzystwie","2016","1h 37m","7,6","Paolo Genovese","Włochy","Dramat","Komedia"
"Niesamowity Spider-Man","2012","2h 16m","6,7","Marc Webb","USA","Akcja","Sci-Fi"
"Piękna i Bestia","2017","2h 9m","7,2","Bill Condon","USA","Musical","Romans"
"Baywatch. Słoneczny patrol","2017","1h 56m","5,9","Seth Gordon","USA","Komedia","Akcja"
"Auta 3","2017","1h 42m","7,2","Brian Fee","USA","Animacja","Komedia"
"Auta 2","2011","1h 46m","6,6","Bradford Lewis","USA","Animacja","Komedia"
"Nie oddychaj","2016","1h 28m","6,5","Fede Álvarez","USA","Thriller",NA
"Jaś Fasola: Nadciąga totalny kataklizm","1997","1h 30m","7,0","Mel Smith","Wielka Brytania","Komedia","Top 1997 roku #35"
"Ouija: Narodziny zła","2016","1h 39m","5,5","Mike Flanagan","USA","Horror",NA
"Sand Castle","2017","1h 53m","6,3","Fernando Coimbra","USA","Dramat","Wojenny"
"Król Artur: Legenda miecza","2017","2h 6m","7,0","Guy Ritchie","USA","Dramat","Przygodowy"
"Frankenstein","1994","2h 3m","7,4","Kenneth Branagh","USA","Dramat","Horror"
"Mumia","2017","1h 50m","5,4","Alex Kurtzman","USA","Fantasy","Przygodowy"
"Batman v Superman: Świt sprawiedliwości","2016","2h 31m","5,8","Zack Snyder","USA","Akcja","Sci-Fi"
"Mroczny Rycerz powstaje","2012","2h 45m","7,7","Christopher Nolan","USA","Akcja","Sci-Fi"
"Wonder Woman","2017","2h 21m","6,6","Patty Jenkins","USA","Akcja","Sci-Fi"
"Piraci z Karaibów: Zemsta Salazara","2017","2h 9m","6,8","Joachim Rønning","USA","Fantasy","Przygodowy"
"Piraci z Karaibów: Skrzynia umarlaka","2006","2h 30m","7,8","Gore Verbinski","USA","Fantasy","Przygodowy"
"Piraci z Karaibów: Klątwa Czarnej Perły","2003","2h 23m","7,7","Gore Verbinski","USA","Fantasy","Przygodowy"
"Elizjum","2013","1h 49m","6,4","Neill Blomkamp","USA","Akcja","Sci-Fi"
"Obcy: Przymierze","2017","2h 2m","5,7","Ridley Scott","USA","Horror","Sci-Fi"
"Gwiazdy","2017","1h 46m","6,0","Jan Kidawa-Błoński","Polska","Biograficzny","Sportowy"
"Free Fire","2016","1h 30m","6,1","Ben Wheatley","Wielka Brytania","Dramat","Kryminał"
"Strażnicy Galaktyki vol. 2","2017","2h 16m","7,5","James Gunn","USA","Akcja","Sci-Fi"
"Galerianki","2009","1h 17m","5,3","Katarzyna Rosłaniec","Polska","Dramat obyczajowy",NA
"Zaginione miasto Z","2016","2h 21m","6,4","James Gray","USA","Biograficzny","Przygodowy"
"Monstrum","2016","1h 49m","5,8","Nacho Vigalondo","Kanada","Komedia","Sci-Fi"
"Hunky Dory","2016","1h 24m","6,9","Michael Curtis Johnson","USA","Dramat","Komedia"
"Szatan kazał tańczyć","2016","1h 37m","3,0","Katarzyna Rosłaniec","Polska","Dramat",NA
"Butterfly Kisses","2017","1h 29m","5,9","Rafał Kapeliński","Wielka Brytania","Dramat",NA
"Dzieciak rządzi","2017","1h 37m","6,6","Tom McGrath","USA","Animacja","Komedia"
"Nędzne psy","1971","1h 58m","7,4","Sam Peckinpah","USA","Dramat",NA
"Szybcy i wściekli 8","2017","2h 16m","6,9","F. Gary Gray","USA","Akcja","Top 2017 roku #48"
"Gra o wszystko","2017","1h 30m","5,3","Joe Swanberg","USA","Komedia",NA
"Mur","2014","1h 22m","5,4","Dariusz Glazer","Polska","Dramat",NA
"Ghost in the Shell","2017","1h 46m","6,4","Rupert Sanders","USA","Thriller","Akcja"
"Thor: Mroczny świat","2013","1h 52m","6,9","Alan Taylor","USA","Fantasy","Przygodowy"
"Show","2003","2h 9m","6,3","Maciej Ślesicki","Polska","Komedia","Sensacyjny"
"Life","2017","1h 43m","6,3","Daniel Espinosa","USA","Thriller","Sci-Fi"
"Tango i Cash","1989","1h 44m","7,0","Andriej Konczałowski","USA","Komedia","Sensacyjny"
"Hitch: Najlepszy doradca przeciętnego faceta","2005","1h 58m","6,9","Andy Tennant","USA","Komedia rom.","Top 2005 roku #51"
"T2: Trainspotting","2017","1h 57m","6,9","Danny Boyle","Wielka Brytania","Dramat","Top 2017 roku #52"
"Amok","2017","1h 48m","5,7","Kasia Adamik","Polska","Kryminał",NA
"Ghost in the Shell","1995","1h 22m","7,9","Mamoru Oshii","Japonia","Akcja","Sci-Fi"
"Wszystko albo nic","2017","1h 47m","5,3","Marta Ferencová","Czechy","Komedia rom.",NA
"Milczenie","2016","2h 41m","6,8","Martin Scorsese","USA","Dramat historyczny","Top 2016 roku #84"
"Godzilla","2014","2h 3m","6,0","Gareth Edwards","USA","Akcja","Sci-Fi"
"Pokot","2017","2h 8m","6,2","Agnieszka Holland","Polska","Dramat","Kryminał"
"Kong: Wyspa Czaszki","2017","1h 58m","6,4","Jordan Vogt-Roberts","USA","Fantasy","Przygodowy"
"Piękna i Bestia","1991","1h 30m","7,6","Kirk Wise","USA","Animacja","Familijny"
"Ukryte działania","2016","2h 7m","7,6","Theodore Melfi","USA","Biograficzny","Dramat"
"Pisklak","2016","6m","7,7","Alan Barillaro","USA","Animacja","Familijny"
"Django","2012","2h 45m","8,3","Quentin Tarantino","USA","Western","Filmweb poleca"
"Porady na zdrady","2017","1h 37m","5,0","Ryszard Zatorski","Polska","Komedia rom.",NA
"Lion. Droga do domu","2016","1h 58m","7,7","Garth Davis","Australia","Dramat","Najlepsze filmy #381"
"Doszli razem","2014","1h 23m","5,3","David Wain","USA","Komedia",NA
"Ernest i Celestyna","2012","1h 20m","7,7","Stéphane Aubier","Belgia","Animacja",NA
"Komedia romantyczna","2006","1h 23m","5,1","Aaron Seltzer","USA","Komedia",NA
"Nazywam się Cukinia","2016","1h 6m","7,6","Claude Barras","Szwajcaria","Animacja","Dramat"
"Lo i stało się. Zaduma nad światem w sieci","2016","1h 38m","6,8","Werner Herzog","","Dokumentalny",NA
"Czerwony żółw","2016","1h 20m","7,2","Michaël Dudok de Wit","Francja","Animacja","Top 2016 roku #80"
"Totalna magia","1998","1h 44m","6,8","Griffin Dunne","USA","Fantasy","Komedia rom."
"PolandJa","2017","1h 43m","4,5","Cyprian T. Olencki","Polska","Komedia obycz.",NA
"Mój sąsiad Totoro","1988","1h 25m","7,8","Hayao Miyazaki","Japonia","Familijny","Anime"
"Ciemniejsza strona Greya","2017","1h 55m","5,0","James Foley","USA","Melodramat",NA
"Indiana Jones i Królestwo Kryształowej Czaszki","2008","2h 2m","6,6","Steven Spielberg","USA","Przygodowy","Top 2008 roku #87"
"Terminal","2004","2h 8m","7,4","Steven Spielberg","USA","Komedia rom.","Top 2004 roku #20"
"Gwiazdorskie życie","2016","1h 26m","6,4","Akiva Schaffer","USA","Komedia","Muzyczny"
"Atak krwiożerczych donatów","2016","1h 38m","3,3","Scott Wheeler","USA","Horror","Komedia"
"Zombie express","2016","1h 58m","6,7","Sang-ho Yeon","Korea Południowa","Horror","Top 2016 roku #96"
"LEGO® PRZYGODA","2014","1h 40m","7,2","Phil Lord","USA","Animacja","Komedia"
"McImperium","2016","1h 55m","6,9","John Lee Hancock","USA","Biograficzny","Dramat"
"Jackie","2016","1h 35m","6,2","Pablo Larraín","USA","Biograficzny","Dramat"
"The Ring 2","2005","1h 50m","6,3","Hideo Nakata","USA","Horror",NA
"Aż do piekła","2016","1h 42m","7,1","David Mackenzie","USA","Dramat","Kryminał"
"Moonlight","2016","1h 51m","6,6","Barry Jenkins","USA","Dramat","Filmweb poleca"
"Constantine","2005","2h 1m","7,4","Francis Lawrence","USA","Fantasy","Thriller"
"Split","2016","1h 56m","7,3","M. Night Shyamalan","USA","Thriller","Top 2016 roku #23"
"Dlaczego on?","2016","1h 51m","6,5","John Hamburg","USA","Komedia","Świąteczny"
"Kocha, lubi, szanuje","2011","1h 58m","7,3","Glenn Ficarra","USA","Dramat","Komedia"
"Megamocny","2010","1h 36m","7,1","Tom McGrath","USA","Animacja","Familijny"
"Manchester by the Sea","2016","2h 17m","7,6","Kenneth Lonergan","USA","Dramat","Filmweb poleca"
"Konwój","2016","1h 32m","6,2","Maciej Żak","Polska","Thriller",NA
"Powidoki","2016","1h 38m","6,3","Andrzej Wajda","Polska","Biograficzny","Dramat"
"Kot Bob i ja","2016","1h 43m","7,5","Roger Spottiswoode","Wielka Brytania","Biograficzny","Komedia"
"Katedra","2002","7m","7,8","Tomasz Bagiński","Polska","Animacja","Krótkometrażowy"
"Mój przyjaciel smok","2016","1h 42m","6,6","David Lowery","USA","Familijny","Przygodowy"
"La La Land","2016","2h 6m","7,3","Damien Chazelle","USA","Musical","Romans"
"183 metry strachu","2016","1h 26m","5,7","Jaume Collet-Serra","USA","Dramat","Thriller"
"Człowiek-scyzoryk","2016","1h 35m","6,8","Dan Kwan","USA","Dramat","Komedia"
"Dziewczyna z pociągu","2016","1h 52m","6,3","Tate Taylor","USA","Thriller",NA
"Wielki Mur","2016","1h 43m","5,7","Yimou Zhang","USA","Fantasy","Przygodowy"
"Siedem dni w piekle","2015","43m","6,4","Jake Szymanski","USA","Komedia","Sportowy"
"Sing","2016","1h 50m","7,3","Garth Jennings","USA","Animacja","Komedia"
"Sekretne życie zwierzaków domowych","2016","1h 30m","6,5","Chris Renaud","USA","Animacja","Komedia"
"Minionki","2015","1h 31m","6,8","Kyle Balda","USA","Animacja","Familijny"
"Assassin's Creed","2016","1h 55m","5,6","Justin Kurzel","USA","Przygodowy",NA
"Wojownicze żółwie ninja: Wyjście z cienia","2016","1h 52m","5,8","Dave Green","USA","Komedia","Akcja"
"Pan Idealny","2015","1h 30m","5,8","Paco Cabezas","USA","Akcja","Komedia rom."
"Po prostu przyjaźń","2016","2h 16m","6,1","Filip Zylber","Polska","Dramat","Komedia"
"Jak zostać kotem","2016","1h 30m","6,1","Barry Sonnenfeld","Francja","Familijny","Komedia"
"Lolo","2015","1h 39m","5,7","Julie Delpy","Francja","Komedia",NA
"Dzień Niepodległości: Odrodzenie","2016","2h","5,1","Roland Emmerich","USA","Akcja","Sci-Fi"
"Hot Fuzz - Ostre psy","2007","2h 1m","7,1","Edgar Wright","Wielka Brytania","Komedia kryminalna","Top 2007 roku #51"
"Gejsza","2015","1h 30m","2,8","Radosław Markiewicz","Polska","Dramat","Sensacyjny"
"Pasażerowie","2016","1h 56m","6,7","Morten Tyldum","USA","Przygodowy","Sci-Fi"
"Kobiety bez wstydu","2016","1h 50m","2,4","Witold Orzechowski","Polska","Komedia",NA
"Dama w vanie","2015","1h 44m","6,7","Nicholas Hytner","Wielka Brytania","Biograficzny","Dramat"
"W krzywym zwierciadle: Witaj, Święty Mikołaju","1989","1h 37m","7,3","Jeremiah S. Chechik","USA","Komedia","Świąteczny"
"Bociany","2016","1h 27m","6,8","Nicholas Stoller","USA","Animacja","Komedia"
"Paterson","2016","1h 53m","7,1","Jim Jarmusch","USA","Dramat","Komedia"
"Gwiezdne wojny: Przebudzenie Mocy","2015","2h 15m","7,2","J.J. Abrams","USA","Przygodowy","Sci-Fi"
"Łotr 1. Gwiezdne wojny - historie","2016","2h 13m","7,4","Gareth Edwards","USA","Przygodowy","Sci-Fi"
"Prosta historia o morderstwie","2016","1h 30m","6,1","Arkadiusz Jakubik","Polska","Kryminał","Thriller"
"Dziedzictwo krwi","2016","1h 28m","5,8","Jean-François Richet","USA","Thriller","Akcja"
"Harry Potter i Książę Półkrwi","2009","2h 33m","7,5","David Yates","USA","Familijny","Fantasy"
"Harry Potter i Zakon Feniksa","2007","2h 18m","7,5","David Yates","USA","Familijny","Fantasy"
"Harry Potter i Czara Ognia","2005","2h 37m","7,6","Mike Newell","USA","Familijny","Fantasy"
"Harry Potter i więzień Azkabanu","2004","2h 21m","7,7","Alfonso Cuarón","USA","Familijny","Fantasy"
"Harry Potter i Komnata Tajemnic","2002","2h 41m","7,4","Chris Columbus","USA","Familijny","Fantasy"
"Harry Potter i Kamień Filozoficzny","2001","2h 32m","7,5","Chris Columbus","USA","Familijny","Fantasy"
"World War Z","2013","1h 56m","6,6","Marc Forster","USA","Horror","Akcja"
"Serce w rozterce","2016","7m","7,6","Leonardo Matsuda","USA","Animacja","Krótkometrażowy"
"Kubo i dwie struny","2016","1h 41m","7,5","Travis Knight","USA","Animacja","Familijny"
"Egzamin","2016","2h 8m","6,8","Cristian Mungiu","Rumunia","Dramat",NA
"Vaiana: Skarb oceanu","2016","1h 47m","7,5","Ron Clements","USA","Animacja","Familijny"
"Zwierzęta nocy","2016","1h 55m","7,2","Tom Ford","USA","Thriller","Top 2016 roku #30"
"Wszystkie nieprzespane noce","2016","1h 40m","5,5","Michał Marczak","Polska","Dramat","Dokumentalizowany"
"Nowy początek","2016","1h 56m","7,3","Denis Villeneuve","USA","Thriller","Sci-Fi"
"Życie za życie","2003","2h 10m","7,8","Alan Parker","USA","Dramat","Najlepsze filmy #198"
"Fantastyczne zwierzęta i jak je znaleźć","2016","2h 13m","7,0","David Yates","Wielka Brytania","Familijny","Fantasy"
"Niesamowity Spider-Man 2","2014","2h 22m","6,7","Marc Webb","USA","Akcja","Sci-Fi"
"Doktor Strange","2016","1h 55m","7,3","Scott Derrickson","USA","Fantasy","Przygodowy"
"Jestem mordercą","2016","1h 47m","7,2","Maciej Pieprzyca","Polska","Thriller","Psychologiczny"
"Szkoła uwodzenia Czesława M.","2016","1h 31m","2,8","Aleksander Dembski","Polska","Komedia",NA
"Człowiek ringu","2005","2h 24m","7,7","Ron Howard","USA","Biograficzny","Dramat"
"Zakładnik","2004","2h","7,2","Michael Mann","USA","Dramat","Sensacyjny"
"Wołyń","2016","2h 30m","7,8","Wojciech Smarzowski","Polska","Dramat","Wojenny"
"Savages: Ponad bezprawiem","2012","2h 10m","6,5","Oliver Stone","USA","Kryminał","Thriller"
"Old Stone","2016","1h 20m","6,8","Johnny Ma","Chiny","Thriller",NA
"Panamerican Machinery","2016","1h 30m","5,8","Joaquín Del Paso","Meksyk","Dramat","Komedia"
"Siedmiu wspaniałych","2016","2h 12m","6,8","Antoine Fuqua","USA","Western","Top 2016 roku #68"
"Ostatnia rodzina","2016","2h 4m","7,6","Jan P. Matuszyński","Polska","Biograficzny","Filmweb poleca"
"Sługi boże","2016","1h 41m","5,8","Mariusz Gawryś","Polska","Kryminał",NA
"Blair Witch","2016","1h 30m","4,8","Adam Wingard","USA","Horror",NA
"Bridget Jones 3","2016","2h 2m","7,1","Sharon Maguire","Wielka Brytania","Komedia rom.","Top 2016 roku #39"
"Morgan","2016","1h 32m","5,7","Luke Scott","USA","Thriller","Sci-Fi"
"Sąsiedzi 2","2016","1h 32m","5,7","Nicholas Stoller","USA","Komedia",NA
"Miecz w kamieniu","1963","1h 19m","7,0","Wolfgang Reitherman","USA","Animacja","Familijny"
"Destrukcja","2015","1h 41m","6,9","Jean-Marc Vallée","USA","Dramat","Komedia"
"Smoleńsk","2016","2h","2,3","Antoni Krauze","Polska","Dramat",NA
"Batman: Zabójczy żart","2016","1h 16m","6,2","Sam Liu","USA","Animacja","Kryminał"
"Podróż na Tajemniczą Wyspę","2012","1h 34m","6,2","Brad Peyton","USA","Familijny","Komedia"
"Nerve","2016","1h 36m","6,8","Henry Joost","USA","Thriller","Top 2016 roku #74"
"Asterix podbija Amerykę","1994","1h 25m","7,0","Gerhard Hahn","Niemcy","Animacja","Familijny"
"Rzeka tajemnic","2003","2h 17m","7,7","Clint Eastwood","USA","Thriller","Najlepsze filmy #235"
"Mechanik: Konfrontacja","2016","1h 38m","6,3","Dennis Gansel","USA","Akcja",NA
"Ben-Hur","2016","2h 4m","6,3","Timur Bekmambetov","USA","Dramat","Kostiumowy"
"Rocky 2","1979","1h 59m","7,5","Sylvester Stallone","USA","Dramat","Sportowy"
"Rekiny wojny","2016","1h 54m","7,0","Todd Phillips","USA","Komedia","Top 2016 roku #55"
"10 minut później: Trąbka","2002","1h 32m","7,4","Spike Lee","Chiny","Dramat","Obyczajowy"
"Mały Książę","2015","1h 48m","7,6","Mark Osborne","Francja","Animacja","Fantasy"
"Złe mamuśki","2016","1h 41m","6,5","Jon Lucas","USA","Komedia",NA
"Randka na weselu","2016","1h 38m","6,0","Jake Szymanski","USA","Komedia",NA
"Jason Bourne","2016","2h 3m","6,5","Paul Greengrass","USA","Sensacyjny",NA
"Wieczna poezja","2016","2h 8m","7,6","Alejandro Jodorowsky","Chile","Biograficzny","Dramat"
"Kamper","2016","1h 29m","6,1","Łukasz Grzegorzek","Polska","Dramat","Komedia"
"Star Trek: W nieznane","2016","2h","6,6","Justin Lin","USA","Akcja","Sci-Fi"
"Bogowie ulicy","2012","1h 49m","7,7","David Ayer","USA","Kryminał","Thriller"
"Chevalier","2015","1h 39m","5,6","Athina Rachel Tsangari","Grecja","Dramat","Komedia"
"Sieranevada","2016","2h 53m","7,1","Cristi Puiu","Rumunia","Dramat","Filmweb poleca"
"Komuna","2016","1h 51m","6,4","Thomas Vinterberg","Dania","Dramat",NA
"Toni Erdmann","2016","2h 42m","7,1","Maren Ade","Niemcy","Komedia","Top 2016 roku #65"
"Klient","2016","2h 5m","7,0","Asghar Farhadi","Iran","Dramat","Top 2016 roku #98"
"W imię ojca","1993","2h 13m","8,0","Jim Sheridan","Irlandia","Biograficzny","Dramat obyczajowy"
"A Crackup at the Race Riots","2015","56m","4,2","Leo Gabin","Belgia","Dokumentalny",NA
"Cmentarz wspaniałości","2015","2h 2m","6,5","Apichatpong Weerasethakul","Tajlandia","Dramat","Fantasy"
"Nawet nie wiesz, jak bardzo Cię kocham","2016","1h 20m","7,7","Paweł Łoziński","Polska","Dokumentalny","Filmweb poleca"
"Zjednoczone stany miłości","2016","1h 44m","6,0","Tomasz Wasilewski","Polska","Dramat obyczajowy",NA
"Antibirth","2016","1h 34m","4,1","Danny Perez","USA","Horror",NA
"Nieznajoma dziewczyna","2016","1h 46m","5,8","Jean-Pierre Dardenne","Belgia","Dramat",NA
"Creative Control","2015","1h 37m","6,1","Benjamin Dickinson","USA","Dramat","Sci-Fi"
"Neon Demon","2016","1h 50m","5,4","Nicolas Winding Refn","Francja","Thriller",NA
"Ghostbusters. Pogromcy duchów","2016","1h 56m","4,8","Paul Feig","USA","Komedia","Akcja"
"Czasem słońce, czasem deszcz","2001","3h 30m","6,9","Karan Johar","Indie","Melodramat","Musical"
"Iluzja 2","2016","2h 9m","6,8","Jon M. Chu","USA","Kryminał","Thriller"
"Agent i pół","2016","1h 47m","6,2","Rawson Marshall Thurber","USA","Komedia kryminalna",NA
